Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Status
AA,06-02-2023,774,N832AW,CLT,05:20,05:11,-9
AA,06-02-2023,884,N651AW,DFW,16:37,16:37,0
AA,06-02-2023,1402,N723UW,CLT,18:02,07:31,809
AA,06-02-2023,2988,N9023N,CLT,06:50,06:36,-14
AA,06-02-2024,2311,N121UW,DFW,16:30,17:43,73
AA,06-02-2024,2348,N737US,CLT,07:06,07:05,-1
AA,06-02-2024,2416,N824AW,CLT,18:32,18:48,16
AA,06-03-2022,2591,N701UW,CLT,12:57,12:59,2
AA,06-03-2023,364,N118US,CLT,14:41,14:38,-3
AA,06-03-2023,774,N744P,CLT,05:20,05:16,-4
AA,06-03-2023,884,N110UW,DFW,16:35,16:36,1
AA,06-03-2023,2988,N738US,CLT,06:50,09:31,161
AA,06-03-2024,2311,N122US,DFW,16:30,17:54,84
AA,06-03-2024,2348,N723UW,CLT,07:06,07:20,14
AA,06-03-2024,2416,N824AW,CLT,18:32,18:54,22
AA,06-04-2022,764,N768US,CLT,14:22,14:16,-6
AA,06-04-2023,364,N746UW,CLT,14:41,14:40,-1
AA,06-04-2023,774,N746UW,CLT,05:20,05:26,6
AA,06-04-2023,884,N604AW,DFW,16:37,16:36,-1
AA,06-04-2023,1402,N90024,CLT,18:02,18:13,11
AA,06-04-2023,2988,N8027D,CLT,06:50,06:48,-2
AA,06-04-2024,2311,N659AW,DFW,16:30,16:39,9
AA,06-04-2024,2348,N773XF,CLT,07:06,07:05,-1
AA,06-04-2024,2416,N805AW,CLT,18:32,18:53,21
AA,06-05-2022,2591,N732US,CLT,12:57,12:56,-1
AA,06-05-2023,364,N840AW,CLT,14:41,15:05,24
AA,06-05-2023,774,N771XF,CLT,05:20,05:15,-5
AA,06-05-2023,884,N102UW,DFW,16:37,16:34,-3
AA,06-05-2023,1402,N679AW,CLT,18:02,19:32,90
AA,06-05-2023,2988,N12028,CLT,06:50,06:48,-2
AA,06-05-2024,569,N653AW,DFW,16:33,20:32,239
AA,06-05-2024,774,N828AW,CLT,05:15,05:13,-2
AA,06-06-2022,2591,N762US,CLT,12:57,13:02,5
AA,06-06-2023,364,N584UW,CLT,14:39,14:35,-4
AA,06-06-2023,774,N764US,CLT,05:20,05:15,-5
AA,06-06-2023,884,N660AW,DFW,16:37,16:36,-1
AA,06-06-2023,1402,N9026C,CLT,18:02,17:59,-3
AA,06-06-2023,2988,N9011P,CLT,06:50,06:51,1
AA,06-06-2024,569,N665AW,DFW,16:33,16:44,11
AA,06-06-2024,774,N820AW,CLT,05:15,05:45,30
AA,06-07-2022,2591,N825AW,CLT,12:57,12:50,-7
AA,06-07-2023,364,N723UW,CLT,14:39,17:58,199
AA,06-07-2023,774,N723UW,CLT,05:20,09:05,225
AA,06-07-2023,884,N669AW,DFW,16:37,17:03,26
AA,06-07-2023,1402,N737US,CLT,18:02,18:48,46
AA,06-07-2023,2988,N8027D,CLT,06:50,06:57,7
AA,06-07-2024,569,N114UW,DFW,16:33,22:37,364
AA,06-07-2024,774,N830AW,CLT,05:15,05:09,-6
AA,06-08-2022,2591,N722US,CLT,12:57,12:59,2
AA,06-08-2023,364,N702UW,CLT,14:39,14:38,-1
AA,06-08-2023,774,N702UW,CLT,05:20,05:14,-6
AA,06-08-2023,884,N658AW,DFW,16:37,16:32,-5
AA,06-08-2023,1402,N679AW,CLT,18:02,17:59,-3
AA,06-08-2023,2988,N9023N,CLT,06:50,06:43,-7
AA,06-08-2024,569,N151UW,DFW,16:30,16:55,25
AA,06-08-2024,774,N3014R,CLT,05:15,06:51,96
AA,06-09-2022,2591,N712US,CLT,12:57,12:52,-5
AA,06-09-2023,364,N742PS,CLT,14:39,14:33,-6
AA,06-09-2023,774,N770UW,CLT,05:20,05:14,-6
AA,06-09-2023,884,N122US,DFW,16:37,16:37,0
AA,06-09-2023,1402,N111US,CLT,18:02,17:55,-7
AA,06-09-2023,2988,N9008U,CLT,06:50,07:25,35
AA,06-09-2024,569,N655AW,DFW,16:33,16:55,22
AA,06-09-2024,774,N805AW,CLT,05:15,05:13,-2
AA,06-10-2022,2591,N740UW,CLT,12:57,12:47,-10
AA,06-10-2023,364,N652AW,CLT,14:39,14:43,4
AA,06-10-2023,774,N772XF,CLT,05:20,05:12,-8
AA,06-10-2023,884,N653AW,DFW,16:35,18:24,109
AA,06-10-2023,2988,N9011P,CLT,06:50,06:47,-3
AA,06-10-2024,569,N668AW,DFW,16:33,17:59,86
AA,06-10-2024,774,N12028,CLT,05:15,05:11,-4
AA,06-11-2022,764,N802AW,CLT,14:22,14:21,-1
AA,06-11-2023,364,N767UW,CLT,14:39,15:31,52
AA,06-11-2023,774,N823AW,CLT,05:20,05:15,-5
AA,06-11-2023,884,N122US,DFW,16:37,16:42,5
AA,06-11-2023,1402,N649AW,CLT,18:02,18:26,24
AA,06-11-2023,2988,N90024,CLT,06:50,09:39,169
AA,06-11-2024,569,N127UW,DFW,16:33,18:02,89
AA,06-11-2024,774,N716UW,CLT,05:15,05:43,28
AA,06-12-2022,2591,N703UW,CLT,12:57,13:01,4
AA,06-12-2023,364,N813AW,CLT,14:39,15:06,27
AA,06-12-2023,774,N767UW,CLT,05:20,05:17,-3
AA,06-12-2023,884,N122US,DFW,16:37,16:55,18
AA,06-12-2023,1402,N8027D,CLT,18:02,18:17,15
AA,06-12-2023,2988,N12028,CLT,06:50,06:45,-5
AA,06-12-2024,569,N9015D,DFW,16:33,17:49,76
AA,06-12-2024,774,N705UW,CLT,05:15,05:11,-4
AA,06/13/2022,2591,N723UW,CLT,12:57,13:12,15
AA,06/13/2023,364,N660AW,CLT,14:39,14:54,15
AA,06/13/2023,774,N822AW,CLT,05:20,05:25,5
AA,06/13/2023,884,N604AW,DFW,16:37,18:45,128
AA,06/13/2023,1402,N704US,CLT,18:02,17:53,-9
AA,06/13/2023,2988,N9029F,CLT,06:50,08:03,73
AA,06/13/2024,569,N673AW,DFW,16:33,17:05,32
AA,06/13/2024,774,N9012,CLT,05:15,05:08,-7
AA,06/14/2022,2591,N755US,CLT,12:57,12:59,2
AA,06/14/2023,364,N773XF,CLT,14:39,14:34,-5
AA,06/14/2023,774,N773XF,CLT,05:20,05:10,-10
AA,06/14/2023,884,N664AW,DFW,16:37,17:18,41
AA,06/14/2023,1402,N812AW,CLT,18:02,18:37,35
AA,06/14/2023,2988,N9026C,CLT,06:50,06:54,4
AA,06/14/2024,569,N604AW,DFW,16:33,16:56,23
AA,06/14/2024,774,N755US,CLT,05:15,05:11,-4
AA,06/15/2022,2591,N802AW,CLT,12:57,12:57,0
AA,06/15/2023,364,N808AW,CLT,14:39,14:43,4
AA,06/15/2023,774,N773XF,CLT,05:20,05:17,-3
AA,06/15/2023,884,N647AW,DFW,16:37,16:55,18
AA,06/15/2023,1402,N119US,CLT,18:02,18:38,36
AA,06/15/2023,2988,N9021H,CLT,06:50,06:55,5
AA,06/15/2024,569,N537UW,DFW,16:30,16:34,4
AA,06/15/2024,774,N771XF,CLT,05:15,05:12,-3
AA,06/16/2022,2591,N715UW,CLT,12:57,12:52,-5
AA,06/16/2023,364,N773XF,CLT,14:39,15:31,52
AA,06/16/2023,774,N112US,CLT,05:20,14:59,579
AA,06/16/2023,884,N128UW,DFW,16:37,19:50,193
